algo,data,ari,nmi,n_c
cms,cifar10,0.035942983277752326,0.3025528898466208,2000
cms,cifar10,0.04133061960262799,0.3191644755987188,2000
cms,cifar10,0.03370962535595326,0.2790242063793896,2000
cms,cifar10,0.027598494082317675,0.3718445051059664,2000
cms,cifar10,0.022304316231935902,0.3385584898656484,2000
cms,cifar10,0.04045266002259638,0.30506519101449825,2000
cms,cifar10,0.034418861418394196,0.36058346288040366,2000
cms,cifar10,0.03947069942543396,0.32857612407854186,2000
cms,cifar10,0.03635068123423976,0.3069881471516227,2000
cms,cifar10,0.03449605314167442,0.2971029242026052,2000
