algo,data,ari,nmi,n_c,ex_time
cms,fashion-mnist,0.3943629490042942,0.581388365982853,2000,59.43736219406128
cms,fashion-mnist,0.3910863814941145,0.5983166348376865,2000,59.08981895446777
cms,fashion-mnist,0.4732926088637204,0.6120543060244925,2000,63.503164529800415
cms,fashion-mnist,0.5045530040605205,0.6319640664866536,2000,57.17046880722046
cms,fashion-mnist,0.386274087006126,0.5957757599820713,2000,57.31769156455994
cms,fashion-mnist,0.5025612663238997,0.612559522773862,2000,58.88415455818176
cms,fashion-mnist,0.3940733201709028,0.583279191278586,2000,62.2260332107544
cms,fashion-mnist,0.453960908429175,0.5973185942472008,2000,63.4489483833313
cms,fashion-mnist,0.4341842974966957,0.6080245787014465,2000,58.538825273513794
cms,fashion-mnist,0.4182681039388798,0.5978888797693034,2000,61.25663948059082
avg,fashion-mnist,0.4352616926788329,0.6018569900084156,2000,60.08731069564819
