algo,data,ari,nmi,n_c,ex_time
cms,gtsrb,0.6085857597834139,0.6636766656529525,2000,48.412651777267456
cms,gtsrb,0.5417812465514112,0.6570587082321251,2000,49.96112751960754
cms,gtsrb,0.5687438880719454,0.6704223073563016,2000,50.06338548660278
cms,gtsrb,0.643332011259965,0.6845266646302676,2000,52.28081798553467
cms,gtsrb,0.5787868778100158,0.6361998493570735,2000,50.901981592178345
cms,gtsrb,0.5745284418355248,0.6627900139394192,2000,54.81888294219971
cms,gtsrb,0.5582304698054317,0.6630943378685661,2000,50.32380771636963
cms,gtsrb,0.5858623621156983,0.667970108884138,2000,52.66955828666687
cms,gtsrb,0.5379420643491578,0.6670696713517555,2000,54.66830778121948
cms,gtsrb,0.537924268022822,0.6529549516369986,2000,54.413697242736816
avg,gtsrb,0.5735717389605386,0.6625763278909598,2000,51.85142183303833
