algo,data,ari,nmi,n_c,ex_time
cms,mnist,0.7127123144942006,0.7203198093911523,2000,53.89935064315796
cms,mnist,0.736192567731802,0.7879111112719693,2000,56.49411630630493
cms,mnist,0.7771217560526278,0.8142748215858597,2000,52.608766317367554
cms,mnist,0.7727252009691733,0.771204290031835,2000,62.578622341156006
cms,mnist,0.7717391092853468,0.8127143699655017,2000,55.83745718002319
cms,mnist,0.773098888562929,0.8078565105982357,2000,55.41626524925232
cms,mnist,0.7282327868653384,0.7854135195042927,2000,53.61595058441162
cms,mnist,0.6846972122730577,0.7381838987516499,2000,57.41589140892029
cms,mnist,0.766962941280048,0.7999011697871757,2000,60.83861589431763
cms,mnist,0.8221599216417831,0.8119900507684955,2000,55.73337435722351
avg,mnist,0.7545642699156307,0.7849769551656167,2000,56.4438410282135
