algo,data,ari,nmi,n_c,ex_time
cms,fashion-mnist,0.4670372521908025,0.6158611081112249,2000,57.84096050262451
cms,fashion-mnist,0.4284717917495312,0.6077217405794904,2000,61.37169075012207
cms,fashion-mnist,0.43389911884701,0.6189229231343104,2000,62.28292798995972
cms,fashion-mnist,0.4452623632275289,0.5928962057212451,2000,60.08018040657044
cms,fashion-mnist,0.4523992761414297,0.6106974234242151,2000,59.25203490257263
cms,fashion-mnist,0.4524954034309685,0.5983380507154055,2000,70.96024084091187
cms,fashion-mnist,0.5018296946544317,0.621832218031494,2000,61.35083889961243
cms,fashion-mnist,0.4481608488438323,0.6186970812589626,2000,66.20492911338806
cms,fashion-mnist,0.4787546951067645,0.609690443449306,2000,69.11979389190674
cms,fashion-mnist,0.4942253039229237,0.6184614173817047,2000,70.05869245529175
avg,fashion-mnist,0.4602535748115223,0.6113118611807359,2000,63.85222897529602
