algo,data,ari,nmi,n_c,ex_time
cms,mnist,0.7823769270222178,0.814449032962125,2000,59.58487057685852
cms,mnist,0.7198939964456006,0.7381245080666717,2000,72.22998976707458
cms,mnist,0.7495882122826368,0.7713004302838259,2000,66.22520232200623
cms,mnist,0.7682043326595981,0.8082290231719833,2000,64.6783037185669
cms,mnist,0.7593867037530662,0.7717955987978476,2000,64.17227983474731
cms,mnist,0.7285443697894628,0.738878715541005,2000,67.52298426628113
cms,mnist,0.7615665016670742,0.7752123203244083,2000,64.57460403442383
cms,mnist,0.7417221353359741,0.7813430863144759,2000,59.09501361846924
cms,mnist,0.7167822146392183,0.7330110048159434,2000,54.78314375877381
cms,mnist,0.7509068366386951,0.7498998670032705,2000,66.00346326828003
avg,mnist,0.7478972230233544,0.7682243587281556,2000,63.88698551654816
