algo,data,ari,nmi,n_c,ex_time
cms,fashion-mnist,0.439136470261653,0.6135321543265067,2000,40.277304887771606
cms,fashion-mnist,0.4305120222813541,0.6002914278647137,2000,42.65936589241028
cms,fashion-mnist,0.462919672303909,0.606414139771027,2000,46.063409090042114
cms,fashion-mnist,0.4605999801191212,0.6234911226883062,2000,41.186928033828735
cms,fashion-mnist,0.467754203235905,0.5886962640018256,2000,41.029700756073
cms,fashion-mnist,0.4488902177250627,0.6108567068547762,2000,40.6913812160492
cms,fashion-mnist,0.42280970544228,0.602711068486403,2000,37.723458766937256
cms,fashion-mnist,0.4555444790803369,0.6138566666443449,2000,44.72035074234009
cms,fashion-mnist,0.4194197853305851,0.5894776460051161,2000,42.61927723884583
cms,fashion-mnist,0.4209923467597136,0.5973765085139345,2000,40.83283257484436
avg,fashion-mnist,0.442857888253992,0.6046703705156953,2000,41.78040091991424
