algo,data,ari,nmi,n_c,ex_time
cms,gtsrb,0.5960143546233713,0.6925069904361328,2000,29.200299978256226
cms,gtsrb,0.5564845362786495,0.6523895195898395,2000,26.548402547836304
cms,gtsrb,0.5258381480909325,0.6445185021595331,2000,37.75789904594421
cms,gtsrb,0.5102658226675814,0.6310011333436312,2000,45.84782695770264
cms,gtsrb,0.5228984012359286,0.6443951643102338,2000,32.40256905555725
cms,gtsrb,0.5209635842141367,0.6482750866821737,2000,37.33470392227173
cms,gtsrb,0.5568762294366502,0.6513220863023303,2000,38.41774773597717
cms,gtsrb,0.6302780161551879,0.6906696242842172,2000,44.28016805648804
cms,gtsrb,0.5948650957791913,0.6611476725101962,2000,46.159213066101074
cms,gtsrb,0.5566016921213507,0.6410468586126465,2000,41.6919174194336
avg,gtsrb,0.557108588060298,0.6557272638230935,2000,37.96407477855682
